출발 건물,도착 건물,거리(m),보정 거리(m),도보 시간(분)
S1-1,S1-2,74,89,2
S1-1,S1-3,121,145,2
S1-1,S1-4,162,194,3
S1-1,S1-5,255,306,4
S1-1,S1-6,310,372,5
S1-1,S2,204,245,4
S1-1,S4-1,316,379,5
S1-1,S20,390,467,6
S1-1,S21-4,424,508,7
S1-1,E1-1,417,500,7
S1-1,E1-2,335,402,6
S1-1,E8-1,186,223,3
S1-1,E8-2,192,231,3
S1-1,E8-7,286,344,5
S1-1,E8-8,412,495,7
S1-1,E8-10,425,510,7
S1-1,E9,289,347,5
S1-1,N7,566,679,9
S1-1,N14,371,445,6
S1-1,N13,270,324,5
S1-1,N15,225,270,4
S1-1,N16-1,317,381,5
S1-1,N18,506,607,8
S1-1,N20-1,458,549,7
S1-1,N23,400,480,7
S1-2,S1-3,47,57,1
S1-2,S1-4,90,108,2
S1-2,S1-5,192,230,3
S1-2,S1-6,242,290,4
S1-2,S2,158,189,3
S1-2,S4-1,274,329,5
S1-2,S20,425,510,7
S1-2,S21-4,477,572,8
S1-2,E1-1,475,570,8
S1-2,E1-2,357,428,6
S1-2,E8-1,139,166,3
S1-2,E8-2,125,149,2
S1-2,E8-7,216,259,4
S1-2,E8-8,346,416,6
S1-2,E8-10,352,422,6
S1-2,E9,215,259,4
S1-2,N7,640,768,10
S1-2,N14,445,533,7
S1-2,N13,342,411,6
S1-2,N15,287,344,5
S1-2,N16-1,376,452,6
S1-2,N18,577,693,9
S1-2,N20-1,497,596,8
S1-2,N23,429,515,7
S1-3,S1-4,47,56,1
S1-3,S1-5,155,185,3
S1-3,S1-6,199,239,3
S1-3,S2,138,166,3
S1-3,S4-1,253,304,4
S1-3,S20,451,541,7
S1-3,S21-4,512,614,8
S1-3,E1-1,513,615,8
S1-3,E1-2,380,456,6
S1-3,E8-1,126,151,2
S1-3,E8-2,88,106,2
S1-3,E8-7,173,208,3
S1-3,E8-8,308,369,5
S1-3,E8-10,306,367,5
S1-3,E9,169,202,3
S1-3,N7,687,824,11
S1-3,N14,492,590,8
S1-3,N13,389,467,6
S1-3,N15,330,396,5
S1-3,N16-1,418,501,7
S1-3,N18,623,747,10
S1-3,N20-1,528,633,8
S1-3,N23,455,546,7
S1-4,S1-5,109,131,2
S1-4,S1-6,153,183,3
S1-4,S2,109,131,2
S1-4,S4-1,218,262,4
S1-4,S20,457,548,7
S1-4,S21-4,528,634,8
S1-4,E1-1,533,640,9
S1-4,E1-2,422,507,7
S1-4,E8-1,151,182,3
S1-4,E8-2,93,111,2
S1-4,E8-7,156,187,3
S1-4,E8-8,294,353,5
S1-4,E8-10,276,331,5
S1-4,E9,135,161,3
S1-4,N7,727,872,11
S1-4,N14,533,640,8
S1-4,N13,432,518,7
S1-4,N15,376,452,6
S1-4,N16-1,464,557,7
S1-4,N18,656,787,10
S1-4,N20-1,573,687,9
S1-4,N23,498,598,8
S1-5,S1-6,62,75,1
