개설 연도,개설 학과,수강 대상,교과목 번호,분반 번호,교과목명,이수구분,학점,이론,실습,수업방식,요일,교시,강의실,담당교수,강의 정원,방법_강의(%),방법_토의토론(%),방법_실험실습(%),방법_현장학습(%),방법_발표(%),방법_기타(%),평가_중간(%),평가_기말(%),평가_출석(%),평가_퀴즈(%),평가_과제(%),평가_기타(%)
2025,컴퓨터공학과,학부(1학년),5110120,01,오픈소스SW이해 및 실습,전공선택,3,2,2,대면,수,"06,07,08,09",E8-1-437(44-437),김봉재,50,40,0,40,0,20,0,30,30,10,10,20,0
2025,컴퓨터공학과,학부(1학년),5110123,01,미래설계준비,전공필수,1,0,2,대면,월,"04,05",E8-1-437(44-437),장준환,50,0,0,0,0,50,50,0,0,0,0,80,20
2025,컴퓨터공학과,학부(2학년),5110013,01,선형대수학,전공선택,3,3,0,대면,목,"01,02,03",E8-1-442(44-442),정태은,50,100,0,0,0,0,0,40,40,10,0,10,0
2025,컴퓨터공학과,학부(2학년),5110014,01,데이터 구조,전공필수,3,3,0,대면,월,"06,07,08",E8-1-437(44-437),정영섭,50,80,0,20,0,0,0,35,40,10,0,10,5
2025,컴퓨터공학과,학부(2학년),5110032,01,컴퓨터네트워크,전공필수,3,3,0,대면,화,"02,03,04",E8-1-316(44-316),임화정,50,50,20,30,0,0,0,30,30,10,0,30,0
2025,컴퓨터공학과,학부(2학년),5110126,01,창업탐색,전공필수,1,0,2,대면,화,"09,10",E8-1-442(44-442),조겨리,50,30,10,0,0,10,50,0,0,0,0,100,0
2025,컴퓨터공학과,학부(2학년),5110127,01,오토마타이론,전공선택,3,3,0,대면,수,"06,07,08",E8-1-442(44-442),정영섭,50,100,0,0,0,0,0,35,40,10,0,10,5
2025,컴퓨터공학과,학부(2학년),5110128,01,논리회로및설계,전공선택,3,2,2,대면,목|금,"09,10|06,07",E8-1-316(44-316)|E9-671(학연671),김성진,30,80,0,20,0,0,0,0,0,0,0,0,0
2025,컴퓨터공학과,학부(2학년),5110129,01,오픈소스개발프로젝트,전공선택,3,2,2,대면,화|목,"06,07|07,08",E8-1-316(44-316)|E8-1-437(44-437),조겨리,50,50,0,50,0,0,0,35,35,15,0,15,0
2025,컴퓨터공학과,학부(3학년),5110025,01,데이터베이스시스템,전공선택,3,3,0,대면,목,"08,09,10",E8-1-442(44-442),박성훈,50,100,0,0,0,0,0,40,40,10,0,10,0
2025,컴퓨터공학과,학부(3학년),5110085,01,소프트웨어공학,전공선택,3,3,0,대면,월,"07,08,09",E8-1-316(44-316),김봉재,50,80,0,20,0,0,0,30,40,10,0,20,0
2025,컴퓨터공학과,학부(3학년),5110107,01,마이크로프로세서,전공선택,3,2,2,대면,화|수,"09,10|06,07",E8-1-316(44-316)|E9-671(학연671),김성진,30,10,0,90,0,0,0,0,0,0,0,0,0
2025,컴퓨터공학과,학부(3학년),5110108,01,정보보호,전공선택,3,3,0,대면,수,"02,03,04",E8-1-316(44-316),임화정,50,60,10,0,0,30,0,30,30,10,0,30,0
2025,컴퓨터공학과,학부(3학년),5110131,01,창업설계,전공필수,1,0,2,대면,화,"06,07",E8-1-442(44-442),정영섭,50,90,0,0,0,10,0,0,80,10,0,0,10
2025,컴퓨터공학과,학부(3학년),5110133,01,산학프로젝트(종합설계),전공필수,3,2,2,대면,월|화,"05,06|02,03",E8-1-316(44-316)|E8-1-437(44-437),김미혜,40,10,30,30,0,30,0,20,20,10,0,30,30
2025,컴퓨터공학과,학부(3학년),5110134,01,인공지능,전공선택,3,3,0,대면,수,"08,09,10",E8-1-316(44-316),조겨리,50,90,10,0,0,0,0,35,35,15,0,15,0
2025,컴퓨터공학과,학부(4학년),5100013,05,창업산학초청세미나Ⅱ,전공선택,1,0,2,대면,목,"08,09",E9-105E(학연산105E),김봉재,200,80,20,0,0,0,0,0,0,20,0,0,80
2025,컴퓨터공학과,학부(4학년),5110140,01,인공신경망,전공선택,3,3,0,대면,월,"02,03,04",E8-1-442(44-442),오창석,50,100,0,0,0,0,0,0,100,0,0,0,0
2025,컴퓨터공학과,학부(4학년),5110141,01,자연언어처리,전공선택,3,3,0,대면,수,"02,03,04",E8-1-437(44-437),정영섭,50,70,0,20,0,10,0,30,45,10,0,10,5
2025,컴퓨터공학과,학부(4학년),5110142,01,데이터마이닝,전공선택,3,3,0,대면,화,"06,07,08",E8-1-437(44-437),김봉재,50,80,0,20,0,0,0,30,30,10,0,30,0
2025,컴퓨터공학과,학부(4학년),5110165,01,창업파일럿프로젝트(캡스톤디자인),전공선택,2,0,4,대면,목,"03,04,05,06",E8-1-316(44-316),조겨리,50,10,0,40,0,50,0,0,0,15,0,35,50
2025,컴퓨터공학과,학부(4학년),5110167,01,정보·컴퓨터논리및논술,전공선택,3,3,0,대면,월,"01,02,03",E8-1-316(44-316),김미혜,50,60,40,0,0,0,0,40,40,20,0,0,0
